        x           yn          zn          ∫yn² 
9.018030763e-02 -1.670346884e+02 -1.102472432e+02 4.079556829e+12
1.102203876e-01 -1.692536392e+02 -1.113958495e+02 4.413865800e+12
1.302604675e-01 -1.714956266e+02 -1.125463405e+02 4.775921009e+12
1.503005475e-01 -1.737606657e+02 -1.136960222e+02 5.168012128e+12
1.703406274e-01 -1.760487172e+02 -1.148420964e+02 5.592613644e+12
1.903807074e-01 -1.783596846e+02 -1.159816584e+02 6.052399168e+12
2.104207873e-01 -1.806934124e+02 -1.171116942e+02 6.550256775e+12
2.304608673e-01 -1.830496836e+02 -1.182290786e+02 7.089305441e+12
2.505009472e-01 -1.854282178e+02 -1.193305728e+02 7.672912642e+12
2.705410272e-01 -1.878286686e+02 -1.204128224e+02 8.304713203e+12
2.905811071e-01 -1.902506216e+02 -1.214723551e+02 8.988629444e+12
3.106211871e-01 -1.926935915e+02 -1.225055787e+02 9.728892727e+12
3.306612670e-01 -1.951570203e+02 -1.235087796e+02 1.053006647e+13
3.507013470e-01 -1.976402743e+02 -1.244781206e+02 1.139707073e+13
3.707414269e-01 -2.001426421e+02 -1.254096397e+02 1.233520841e+13
3.907815069e-01 -2.026633317e+02 -1.262992483e+02 1.335019321e+13
4.108215868e-01 -2.052014682e+02 -1.271427306e+02 1.444817940e+13
4.308616668e-01 -2.077560909e+02 -1.279357421e+02 1.563579355e+13
4.509017467e-01 -2.103261513e+02 -1.286738090e+02 1.692016821e+13
4.709418267e-01 -2.129105098e+02 -1.293523278e+02 1.830897778e+13
4.909819067e-01 -2.155079339e+02 -1.299665651e+02 1.981047656e+13
5.110219866e-01 -2.181170947e+02 -1.305116578e+02 2.143353914e+13
5.310620666e-01 -2.207365652e+02 -1.309826133e+02 2.318770319e+13
5.511021465e-01 -2.233648168e+02 -1.313743106e+02 2.508321483e+13
5.711422265e-01 -2.260002176e+02 -1.316815014e+02 2.713107658e+13
5.911823064e-01 -2.286410292e+02 -1.318988119e+02 2.934309803e+13
6.112223864e-01 -2.312854048e+02 -1.320207447e+02 3.173194943e+13
6.312624663e-01 -2.339313862e+02 -1.320416814e+02 3.431121807e+13
6.513025463e-01 -2.365769015e+02 -1.319558858e+02 3.709546781e+13
6.713426262e-01 -2.392197631e+02 -1.317575074e+02 4.010030158e+13
6.913827062e-01 -2.418576652e+02 -1.314405859e+02 4.334242715e+13
7.114227861e-01 -2.444881817e+02 -1.309990553e+02 4.683972610e+13
7.314628661e-01 -2.471087638e+02 -1.304267502e+02 5.061132608e+13
7.515029460e-01 -2.497167389e+02 -1.297174113e+02 5.467767649e+13
7.715430260e-01 -2.523093076e+02 -1.288646924e+02 5.906062741e+13
7.915831059e-01 -2.548835433e+02 -1.278621679e+02 6.378351205e+13
8.116231859e-01 -2.574363894e+02 -1.267033411e+02 6.887123253e+13
8.316632658e-01 -2.599646591e+02 -1.253816533e+02 7.435034899e+13
8.517033458e-01 -2.624650334e+02 -1.238904938e+02 8.024917211e+13
8.717434257e-01 -2.649340606e+02 -1.222232104e+02 8.659785877e+13
8.917835057e-01 -2.673681553e+02 -1.203731215e+02 9.342851087e+13
9.118235856e-01 -2.697635983e+02 -1.183335282e+02 1.007752771e+14
9.318636656e-01 -2.721165358e+02 -1.160977284e+02 1.086744578e+14
9.519037455e-01 -2.744229800e+02 -1.136590306e+02 1.171646115e+14
9.719438255e-01 -2.766788090e+02 -1.110107703e+02 1.262866653e+14
9.919839054e-01 -2.788797680e+02 -1.081463258e+02 1.360840256e+14
1.012023985e+00 -2.810214697e+02 -1.050591364e+02 1.466026915e+14
1.032064065e+00 -2.830993961e+02 -1.017427207e+02 1.578913691e+14
1.052104145e+00 -2.851089000e+02 -9.819069633e+01 1.700015862e+14
1.072144225e+00 -2.870452074e+02 -9.439680142e+01 1.829878077e+14
